time;I(R1);I(R2);I(R3);I(R4);
0.0001273;0.0159436;0.0103194;-0.00210308;0.00167512;
0.0001277;0.0159436;0.0103194;-0.00210308;0.00167509;
0.000128176;0.0159441;0.0103195;-0.00210924;0.00162301;
0.000128763;0.0159415;0.0103193;-0.00212193;0.00162567;
0.000129074;0.0152362;0.0102747;-0.00229636;0.00164577;
0.000129394;0.0161791;0.0102795;-0.0018595;0.00167512;
0.000129662;0.0128088;0.01014;-0.00235819;0.00167512;
0.000129922;0.016289;0.0101037;-0.00188296;0.00167512;
0.000130173;0.0132562;0.0101166;-0.00235397;0.00167482;
0.000130433;0.0162705;0.0101204;-0.00188709;0.00165491;
0.000130723;0.0136401;0.0101451;-0.00235073;0.00165239;
0.000131058;0.016243;0.0101511;-0.00189017;0.00165759;
0.000131474;0.0139148;0.0101733;-0.00234819;0.00165216;
0.000132025;0.0162228;0.0101743;-0.00189226;0.00165721;
0.000132723;0.0140763;0.0101899;-0.00234663;0.00165251;
0.000133723;0.0162123;0.0101861;-0.00189347;0.00165686;
0.000134723;0.0141736;0.0101982;-0.00234568;0.00165274;
0.000135723;0.0162054;0.0101935;-0.00189446;0.00165658;
0.000136723;0.0142692;0.0102056;-0.00234474;0.00165295;
0.000137723;0.0161985;0.0102009;-0.00189543;0.00165634;
0.000138723;0.0143629;0.0102129;-0.00234381;0.00165314;
0.000139723;0.0161916;0.0102083;-0.00189639;0.00165613;
0.000140723;0.0144548;0.0102199;-0.00234289;0.0016533;
0.000141723;0.016185;0.0102154;-0.00189733;0.00165595;
0.000142723;0.0145447;0.0102268;-0.00234199;0.00165344;
0.000143723;0.0161785;0.0102224;-0.00189825;0.00165579;
0.000144723;0.0146326;0.0102336;-0.00234111;0.00165357;
0.000145723;0.0161721;0.0102292;-0.00189916;0.00165567;
0.000146723;0.0147184;0.0102401;-0.00234024;0.00165367;
0.000147723;0.0161659;0.0102358;-0.00190004;0.00165556;
0.000148723;0.0148021;0.0102465;-0.0023394;0.00165376;
0.000149723;0.0161598;0.0102423;-0.00190091;0.00165546;
0.000150723;0.0148835;0.0102527;-0.00233857;0.00165384;
0.000151723;0.0161539;0.0102486;-0.00190175;0.00165539;
0.000152723;0.0149622;0.0102586;-0.00233776;0.0016539;
0.000153723;0.0161482;0.0102547;-0.00190258;0.00165532;
0.000154723;0.0150378;0.0102643;-0.00233697;0.00165396;
0.000155723;0.0161427;0.0102605;-0.00190339;0.00165526;
0.000156723;0.0151096;0.0102697;-0.0023362;0.00165401;
0.000157723;0.0161375;0.0102661;-0.00190418;0.00165521;
0.000158723;0.0151767;0.0102747;-0.00233545;0.00165405;
0.000159723;0.0161324;0.0102712;-0.00190494;0.00165517;
0.000160723;0.0152381;0.0102791;-0.00233471;0.00165409;
0.000161723;0.0161279;0.010276;-0.0019057;0.00165513;
0.000162723;0.0152931;0.0102831;-0.00233398;0.00165412;
0.000163723;0.0161235;0.0102802;-0.00190643;0.0016551;
0.000164723;0.0153421;0.0102865;-0.00233327;0.00165415;
0.000165723;0.0161196;0.010284;-0.00190715;0.00165507;
0.000166723;0.0153837;0.0102894;-0.00233257;0.00165418;
0.000167723;0.0161162;0.0102872;-0.00190786;0.00165504;
0.000168723;0.0154198;0.0102919;-0.00233188;0.00165421;
0.000169723;0.0161131;0.01029;-0.00190856;0.00165502;
0.000170723;0.015451;0.0102941;-0.0023312;0.00165423;
0.000171723;0.0161102;0.0102924;-0.00190924;0.001655;
0.000172723;0.0154791;0.010296;-0.00233053;0.00165425;
0.000173723;0.0161076;0.0102945;-0.00190991;0.00165498;
0.000174723;0.0155022;0.0102976;-0.00232987;0.00165426;
0.000175723;0.0161053;0.0102963;-0.00191058;0.00165496;
0.000176723;0.0155228;0.010299;-0.00232922;0.00165428;
0.000177723;0.0161031;0.0102978;-0.00191123;0.00165494;
0.000178723;0.0155413;0.0103002;-0.00232857;0.0016543;
0.000179723;0.016101;0.0102992;-0.00191188;0.00165493;
0.000180723;0.0155578;0.0103014;-0.00232793;0.00165431;
0.000181723;0.0160991;0.0103004;-0.00191251;0.00165492;
0.000182723;0.0155727;0.0103024;-0.0023273;0.00165432;
0.000183723;0.0160973;0.0103015;-0.00191314;0.0016549;
0.000184723;0.0155867;0.0103034;-0.00232668;0.00165433;
0.000185723;0.0160956;0.0103025;-0.00191377;0.00165489;
0.000186723;0.0155988;0.0103041;-0.00232607;0.00165434;
0.000187723;0.0160939;0.0103034;-0.00191438;0.00165488;
0.000188723;0.0156101;0.0103049;-0.00232546;0.00165435;
0.000189723;0.0160924;0.0103042;-0.00191499;0.00165487;
0.000190723;0.0156205;0.0103056;-0.00232485;0.00165436;
0.000191723;0.0160909;0.0103049;-0.00191559;0.00165487;
0.000192723;0.0156302;0.0103062;-0.00232425;0.00165437;
0.000193723;0.0160894;0.0103056;-0.00191619;0.00165486;
0.000194723;0.0156399;0.0103069;-0.00232366;0.00165437;
0.000195723;0.016088;0.0103063;-0.00191678;0.00165485;
0.000196723;0.015648;0.0103074;-0.00232308;0.00165438;
0.000197723;0.0160867;0.0103069;-0.00191736;0.00165485;
0.000198723;0.0156558;0.0103079;-0.0023225;0.00165438;
0.000199723;0.0160855;0.0103074;-0.00191794;0.00165484;
0.000200723;0.0156631;0.0103084;-0.00232192;0.00165439;
0.000201723;0.0160843;0.0103079;-0.00191852;0.00165484;
0.000202723;0.0156701;0.0103089;-0.00232135;0.00165439;
0.000203723;0.0160831;0.0103084;-0.00191909;0.00165483;
0.000204723;0.0156767;0.0103093;-0.00232079;0.0016544;
0.000205723;0.016082;0.0103089;-0.00191965;0.00165483;
0.000206723;0.0156833;0.0103097;-0.00232023;0.0016544;
0.000207723;0.0160803;0.0103092;-0.00192021;0.00165482;
0.000208723;0.0156891;0.01031;-0.00231967;0.00165441;
0.000209723;0.0160791;0.0103096;-0.00192076;0.00165482;
0.000210723;0.0156947;0.0103104;-0.00231912;0.00165441;
0.000211723;0.0160779;0.01031;-0.00192131;0.00165482;
0.000212723;0.0157005;0.0103108;-0.00231858;0.00165441;
0.000213723;0.0160768;0.0103104;-0.00192185;0.00165481;
0.000214723;0.0157053;0.010311;-0.00231803;0.00165442;
0.000215723;0.0160757;0.0103107;-0.00192239;0.00165481;
0.000216723;0.0157102;0.0103113;-0.0023175;0.00165442;
0.000217723;0.0160746;0.010311;-0.00192293;0.00165481;
0.000218723;0.0157151;0.0103117;-0.00231697;0.00165442;
0.000219723;0.0160735;0.0103113;-0.00192346;0.0016548;
0.000220723;0.0157196;0.0103119;-0.00231644;0.00165443;
0.000221723;0.0160724;0.0103116;-0.00192398;0.0016548;
0.000222723;0.0157238;0.0103122;-0.00231591;0.00165443;
0.000223723;0.0160714;0.0103119;-0.00192451;0.0016548;
0.000224723;0.0157279;0.0103124;-0.00231539;0.00165443;
0.000225723;0.0160703;0.0103121;-0.00192502;0.0016548;
0.000226723;0.0157319;0.0103127;-0.00231488;0.00165443;
0.000227723;0.0160693;0.0103123;-0.00192554;0.00165479;
0.000228723;0.0157357;0.0103129;-0.00231437;0.00165444;
0.000229723;0.0160683;0.0103126;-0.00192605;0.00165479;
0.000230723;0.0157397;0.0103131;-0.00231386;0.00165444;
0.000231723;0.0160673;0.0103128;-0.00192656;0.00165479;
0.000232723;0.0157432;0.0103133;-0.00231335;0.00165444;
0.000233723;0.0160663;0.010313;-0.00192706;0.00165479;
0.000234723;0.0157466;0.0103135;-0.00231285;0.00165444;
0.000235723;0.0160654;0.0103132;-0.00192756;0.00165479;
0.000236723;0.0157499;0.0103137;-0.00231235;0.00165444;
0.000237723;0.0160644;0.0103134;-0.00192805;0.00165478;
0.000238723;0.0157532;0.0103139;-0.00231186;0.00165444;
0.000239723;0.0160635;0.0103136;-0.00192855;0.00165478;
0.000240723;0.0157563;0.0103141;-0.00231137;0.00165445;
0.000241723;0.0160625;0.0103138;-0.00192903;0.00165478;
0.000242723;0.0157593;0.0103142;-0.00231088;0.00165445;
0.000243723;0.0160616;0.010314;-0.00192952;0.00165478;
0.000244723;0.0157622;0.0103144;-0.0023104;0.00165445;
0.000245723;0.0160607;0.0103141;-0.00193;0.00165478;
0.000246723;0.0157651;0.0103145;-0.00230992;0.00165445;
0.000247723;0.0160598;0.0103143;-0.00193048;0.00165478;
0.000248723;0.0157679;0.0103147;-0.00230944;0.00165445;
0.000249723;0.0160589;0.0103145;-0.00193096;0.00165477;
0.000250723;0.0157706;0.0103148;-0.00230897;0.00165445;
0.000251723;0.016058;0.0103146;-0.00193143;0.00165477;
0.000252723;0.0157732;0.010315;-0.0023085;0.00165446;
0.000253723;0.0160571;0.0103147;-0.0019319;0.00165477;
0.000254723;0.0157758;0.0103151;-0.00230803;0.00165446;
0.000255723;0.0160563;0.0103149;-0.00193237;0.00165477;
0.000256723;0.0157782;0.0103152;-0.00230756;0.00165446;
0.000257723;0.0160554;0.010315;-0.00193283;0.00165477;
0.000258723;0.0157807;0.0103154;-0.0023071;0.00165446;
0.000259723;0.0160545;0.0103151;-0.00193329;0.00165477;
0.000260723;0.015783;0.0103155;-0.00230664;0.00165446;
0.000261723;0.0160537;0.0103153;-0.00193375;0.00165477;
0.000262723;0.0157853;0.0103156;-0.00230618;0.00165446;
0.000263723;0.0160529;0.0103154;-0.0019342;0.00165476;
0.000264723;0.0157875;0.0103157;-0.00230573;0.00165446;
0.000265723;0.016052;0.0103155;-0.00193466;0.00165476;
0.000266723;0.0157901;0.0103159;-0.00230528;0.00165446;
0.000267723;0.0160512;0.0103156;-0.00193511;0.00165476;
0.000268723;0.0157921;0.0103159;-0.00230483;0.00165447;
0.000269723;0.0160504;0.0103157;-0.00193555;0.00165476;
0.000270723;0.0157941;0.010316;-0.00230438;0.00165447;
0.000271723;0.0160497;0.0103159;-0.001936;0.00165476;
0.000272723;0.0157961;0.0103161;-0.00230394;0.00165447;
0.000273723;0.0160489;0.010316;-0.00193644;0.00165476;
0.000274723;0.0157981;0.0103162;-0.0023035;0.00165447;
0.000275723;0.016048;0.010316;-0.00193688;0.00165476;
0.000276723;0.0158;0.0103163;-0.00230306;0.00165447;
0.000277723;0.0160472;0.0103161;-0.00193731;0.00165476;
0.000278723;0.0158018;0.0103164;-0.00230263;0.00165447;
0.000279723;0.0160465;0.0103162;-0.00193775;0.00165476;
0.000280723;0.0158037;0.0103165;-0.00230219;0.00165447;
0.000281723;0.0160457;0.0103163;-0.00193818;0.00165476;
0.000282723;0.0158055;0.0103166;-0.00230176;0.00165447;
0.000283723;0.0160449;0.0103164;-0.00193861;0.00165475;
0.000284723;0.0158072;0.0103167;-0.00230133;0.00165447;
0.000285723;0.0160442;0.0103165;-0.00193904;0.00165475;
0.000286723;0.0158089;0.0103167;-0.00230091;0.00165448;
0.000287723;0.0160434;0.0103166;-0.00193946;0.00165475;
0.000288723;0.0158106;0.0103168;-0.00230049;0.00165448;
0.000289723;0.0160427;0.0103166;-0.00193988;0.00165475;
0.000290723;0.0158123;0.0103169;-0.00230006;0.00165448;
0.000291723;0.0160419;0.0103167;-0.0019403;0.00165475;
0.000292723;0.0158139;0.0103169;-0.00229964;0.00165448;
0.000293723;0.0160412;0.0103168;-0.00194072;0.00165475;
0.000294723;0.0158155;0.010317;-0.00229923;0.00165448;
0.000295723;0.0160405;0.0103169;-0.00194114;0.00165475;
0.000296723;0.015817;0.0103171;-0.00229881;0.00165448;
0.000297723;0.0160398;0.0103169;-0.00194155;0.00165475;
0.000298723;0.0158185;0.0103171;-0.0022984;0.00165448;
0.000299723;0.016039;0.010317;-0.00194196;0.00165475;
0.000300723;0.01582;0.0103172;-0.00229799;0.00165448;
0.000301723;0.0160383;0.0103171;-0.00194237;0.00165475;
0.000302723;0.0158215;0.0103173;-0.00229758;0.00165448;
0.000303723;0.0160376;0.0103171;-0.00194278;0.00165475;
0.000304723;0.0158229;0.0103173;-0.00229718;0.00165448;
0.000305723;0.0160369;0.0103172;-0.00194318;0.00165474;
0.000306723;0.0158243;0.0103174;-0.00229677;0.00165448;
0.000307723;0.0160363;0.0103172;-0.00194358;0.00165474;
0.000308723;0.0158257;0.0103174;-0.00229637;0.00165448;
0.000309723;0.0160356;0.0103173;-0.00194399;0.00165474;
0.000310723;0.0158271;0.0103175;-0.00229597;0.00165449;
0.000311723;0.0160349;0.0103173;-0.00194438;0.00165474;
0.000312723;0.0158284;0.0103175;-0.00229557;0.00165449;
0.000313723;0.0160342;0.0103174;-0.00194478;0.00165474;
0.000314723;0.0158297;0.0103176;-0.00229518;0.00165449;
0.000315723;0.0160336;0.0103175;-0.00194518;0.00165474;
0.000316723;0.015831;0.0103176;-0.00229478;0.00165449;
0.000317723;0.0160329;0.0103175;-0.00194557;0.00165474;
0.000318723;0.0158323;0.0103177;-0.00229439;0.00165449;
0.000319723;0.0160325;0.0103176;-0.00194596;0.00165474;
