time;I(D5);P(D5);
0.000365301;-0.00472531;0.0223796;
0.000367301;-0.00489305;0.0231763;
0.000369301;-0.00472532;0.0223797;
0.000371301;-0.00489304;0.0231762;
0.000373301;-0.00472534;0.0223797;
0.000375301;-0.00489303;0.0231762;
0.000377301;-0.00472535;0.0223798;
0.000379301;-0.00489302;0.0231761;
0.000381301;-0.00472537;0.0223799;
0.000383301;-0.00489302;0.0231761;
0.000385301;-0.00472538;0.0223799;
0.000387301;-0.00489301;0.0231761;
0.000389301;-0.00472539;0.02238;
0.000391301;-0.004893;0.023176;
0.000393301;-0.00472541;0.0223801;
0.000395301;-0.00489299;0.023176;
0.000397301;-0.00472542;0.0223801;
0.000399301;-0.00489298;0.0231759;
0.000401301;-0.00472543;0.0223802;
0.000403301;-0.00489297;0.0231759;
0.000405301;-0.00472545;0.0223803;
0.000407301;-0.00489296;0.0231758;
0.000409301;-0.00472546;0.0223803;
0.000411301;-0.00489295;0.0231758;
0.000413301;-0.00472547;0.0223804;
0.000415301;-0.00489294;0.0231757;
0.000417301;-0.00472549;0.0223805;
0.000419301;-0.00489293;0.0231757;
0.000421301;-0.0047255;0.0223805;
0.000423301;-0.00489292;0.0231756;
0.000425301;-0.00472552;0.0223806;
0.000427301;-0.00489291;0.0231756;
0.000429301;-0.00472553;0.0223807;
0.000431301;-0.0048929;0.0231755;
0.000433301;-0.00472554;0.0223807;
0.000435301;-0.00489289;0.0231755;
0.000437301;-0.00472556;0.0223808;
0.000439301;-0.00489288;0.0231754;
0.000441301;-0.00472557;0.0223809;
0.000443301;-0.00489287;0.0231754;
0.000445301;-0.00472558;0.0223809;
0.000447301;-0.00489286;0.0231753;
0.000449301;-0.0047256;0.022381;
0.000451301;-0.00489285;0.0231753;
0.000453301;-0.00472561;0.0223811;
0.000455301;-0.00489285;0.0231752;
0.000457301;-0.00472562;0.0223811;
0.000459301;-0.00489284;0.0231752;
0.000461301;-0.00472564;0.0223812;
0.000463301;-0.00489283;0.0231752;
0.000465301;-0.00472565;0.0223813;
0.000467301;-0.00489282;0.0231751;
0.000469301;-0.00472566;0.0223813;
0.000471301;-0.00489281;0.0231751;
0.000473301;-0.00472568;0.0223814;
0.000475301;-0.0048928;0.023175;
0.000477301;-0.00472569;0.0223814;
