v-sweep;V(/a);V(/b);
4.16;4.16;0.740169;
4.17;4.17;0.740263;
4.18;4.18;0.740358;
4.19;4.19;0.740451;
4.2;4.2;0.740545;
4.21;4.21;0.740638;
4.22;4.22;0.740731;
4.23;4.23;0.740824;
4.24;4.24;0.740916;
4.25;4.25;0.741008;
4.26;4.26;0.741099;
4.27;4.27;0.74119;
4.28;4.28;0.741281;
4.29;4.29;0.741372;
4.3;4.3;0.741462;
4.31;4.31;0.741552;
4.32;4.32;0.741642;
4.33;4.33;0.741731;
4.34;4.34;0.741821;
4.35;4.35;0.741909;
4.36;4.36;0.741998;
4.37;4.37;0.742086;
4.38;4.38;0.742174;
4.39;4.39;0.742262;
4.4;4.4;0.742349;
4.41;4.41;0.742436;
4.42;4.42;0.742523;
4.43;4.43;0.742609;
4.44;4.44;0.742695;
4.45;4.45;0.742781;
4.46;4.46;0.742867;
4.47;4.47;0.742952;
4.48;4.48;0.743037;
4.49;4.49;0.743122;
4.5;4.5;0.743206;
4.51;4.51;0.743291;
4.52;4.52;0.743375;
4.53;4.53;0.743458;
4.54;4.54;0.743542;
4.55;4.55;0.743625;
4.56;4.56;0.743708;
4.57;4.57;0.743791;
4.58;4.58;0.743873;
4.59;4.59;0.743955;
4.6;4.6;0.744037;
4.61;4.61;0.744119;
4.62;4.62;0.7442;
4.63;4.63;0.744281;
4.64;4.64;0.744362;
4.65;4.65;0.744443;
4.66;4.66;0.744523;
4.67;4.67;0.744603;
4.68;4.68;0.744683;
4.69;4.69;0.744763;
4.7;4.7;0.744842;
4.71;4.71;0.744921;
4.72;4.72;0.745;
4.73;4.73;0.745079;
4.74;4.74;0.745157;
4.75;4.75;0.745236;
4.76;4.76;0.745314;
4.77;4.77;0.745391;
4.78;4.78;0.745469;
4.79;4.79;0.745546;
4.8;4.8;0.745623;
4.81;4.81;0.7457;
4.82;4.82;0.745777;
4.83;4.83;0.745853;
4.84;4.84;0.745929;
4.85;4.85;0.746005;
4.86;4.86;0.746081;
4.87;4.87;0.746157;
4.88;4.88;0.746232;
4.89;4.89;0.746307;
4.9;4.9;0.746382;
4.91;4.91;0.746457;
4.92;4.92;0.746531;
4.93;4.93;0.746605;
4.94;4.94;0.746679;
4.95;4.95;0.746753;
4.96;4.96;0.746827;
4.97;4.97;0.7469;
4.98;4.98;0.746973;
4.99;4.99;0.747046;
5;5;0.747119;
