time;I(D7);P(D7);
0.0016594;-1.29011e-05;5.4023e-05;
0.0016614;-1.19521e-05;5.00254e-05;
0.0016634;-1.1131e-05;4.65685e-05;
0.0016654;-1.04141e-05;4.35509e-05;
0.0016674;-9.78273e-06;4.08949e-05;
0.0016694;-9.22273e-06;3.85399e-05;
0.0016714;-8.72271e-06;3.64378e-05;
0.0016734;-8.27361e-06;3.45505e-05;
0.0016754;-7.86807e-06;3.28467e-05;
0.0016774;-7.50011e-06;3.13013e-05;
0.0016794;-7.16475e-06;2.98932e-05;
0.0016814;-6.85787e-06;2.86051e-05;
0.0016834;-6.57601e-06;2.74223e-05;
0.0016854;-6.31625e-06;2.63325e-05;
0.0016874;-6.0761e-06;2.53252e-05;
0.0016894;-5.85343e-06;2.43915e-05;
0.0016914;-5.64641e-06;2.35235e-05;
0.0016934;-5.45345e-06;2.27147e-05;
0.0016954;-5.27316e-06;2.19592e-05;
0.0016974;-5.10436e-06;2.1252e-05;
0.0016994;-4.94597e-06;2.05885e-05;
0.0017014;-4.79706e-06;1.99648e-05;
0.0017034;-4.65682e-06;1.93776e-05;
0.0017054;-4.52451e-06;1.88236e-05;
0.0017074;-4.39947e-06;1.83002e-05;
0.0017094;-4.28113e-06;1.7805e-05;
0.0017114;-4.16896e-06;1.73356e-05;
0.0017134;-4.06249e-06;1.68902e-05;
0.0017154;-3.96131e-06;1.64669e-05;
0.0017174;-3.86502e-06;1.60642e-05;
0.0017194;-3.77329e-06;1.56806e-05;
0.0017214;-3.68579e-06;1.53147e-05;
0.0017234;-3.60225e-06;1.49655e-05;
0.0017254;-3.52239e-06;1.46317e-05;
0.0017274;-3.44599e-06;1.43123e-05;
0.0017294;-3.37282e-06;1.40066e-05;
0.0017314;-3.30268e-06;1.37135e-05;
0.0017334;-3.23539e-06;1.34324e-05;
0.0017354;-3.17078e-06;1.31625e-05;
0.0017374;-3.10869e-06;1.29031e-05;
0.0017394;-3.04898e-06;1.26538e-05;
0.0017414;-2.99151e-06;1.24138e-05;
0.0017434;-2.93616e-06;1.21827e-05;
0.0017454;-2.88282e-06;1.196e-05;
0.0017474;-2.83137e-06;1.17452e-05;
0.0017494;-2.78173e-06;1.1538e-05;
0.0017514;-2.73379e-06;1.1338e-05;
0.0017534;-2.68747e-06;1.11447e-05;
0.0017554;-2.64269e-06;1.09578e-05;
0.0017574;-2.59937e-06;1.07771e-05;
0.0017594;-2.55745e-06;1.06022e-05;
0.0017614;-2.51686e-06;1.04329e-05;
0.0017634;-2.47753e-06;1.02688e-05;
0.0017654;-2.4394e-06;1.01099e-05;
0.0017674;-2.40243e-06;9.95569e-06;
0.0017694;-2.36657e-06;9.80613e-06;
0.0017714;-2.33175e-06;9.66098e-06;
0.0017734;-2.29794e-06;9.52004e-06;
0.0017754;-2.2651e-06;9.38312e-06;
0.0017774;-2.23318e-06;9.25006e-06;
0.0017794;-2.20214e-06;9.12071e-06;
0.0017814;-2.17196e-06;8.99492e-06;
0.0017834;-2.14259e-06;8.87252e-06;
0.0017854;-2.114e-06;8.7534e-06;
0.0017874;-2.08616e-06;8.63742e-06;
0.0017894;-2.05904e-06;8.52445e-06;
0.0017914;-2.03262e-06;8.41439e-06;
0.0017934;-2.00687e-06;8.30711e-06;
0.0017954;-1.98176e-06;8.20253e-06;
0.0017974;-1.95727e-06;8.10053e-06;
0.0017994;-1.93337e-06;8.00103e-06;
0.0018014;-1.91005e-06;7.90393e-06;
0.0018034;-1.88729e-06;7.80915e-06;
0.0018054;-1.86506e-06;7.7166e-06;
0.0018074;-1.84335e-06;7.62621e-06;
0.0018094;-1.82214e-06;7.5379e-06;
0.0018114;-1.80141e-06;7.4516e-06;
0.0018134;-1.78114e-06;7.36725e-06;
0.0018154;-1.76132e-06;7.28478e-06;
0.0018174;-1.74194e-06;7.20413e-06;
0.0018194;-1.72298e-06;7.12523e-06;
0.0018214;-1.70443e-06;7.04803e-06;
0.0018234;-1.68628e-06;6.97249e-06;
0.0018254;-1.6685e-06;6.89853e-06;
0.0018274;-1.6511e-06;6.82612e-06;
0.0018294;-1.63405e-06;6.75521e-06;
0.0018314;-1.61735e-06;6.68575e-06;
0.0018334;-1.60099e-06;6.6177e-06;
0.0018354;-1.58496e-06;6.55101e-06;
0.0018374;-1.56924e-06;6.48565e-06;
0.0018394;-1.55383e-06;6.42157e-06;
0.0018414;-1.53873e-06;6.35875e-06;
0.0018434;-1.52391e-06;6.29713e-06;
0.0018454;-1.50937e-06;6.23669e-06;
0.0018474;-1.49511e-06;6.17739e-06;
0.0018494;-1.48111e-06;6.11921e-06;
0.0018514;-1.46738e-06;6.06211e-06;
0.0018534;-1.4539e-06;6.00605e-06;
0.0018554;-1.44066e-06;5.95102e-06;
0.0018574;-1.42766e-06;5.89699e-06;
0.0018594;-1.41489e-06;5.84392e-06;
0.0018614;-1.40235e-06;5.7918e-06;
0.0018634;-1.39003e-06;5.74059e-06;
0.0018654;-1.37792e-06;5.69028e-06;
0.0018674;-1.36602e-06;5.64084e-06;
0.0018694;-1.35432e-06;5.59224e-06;
0.0018714;-1.34283e-06;5.54448e-06;
0.0018734;-1.33152e-06;5.49751e-06;
0.0018754;-1.32041e-06;5.45134e-06;
0.0018774;-1.30948e-06;5.40592e-06;
0.0018794;-1.29873e-06;5.36126e-06;
0.0018814;-1.28815e-06;5.31733e-06;
0.0018834;-1.27774e-06;5.2741e-06;
0.0018854;-1.2675e-06;5.23157e-06;
0.0018874;-1.25743e-06;5.18972e-06;
0.0018894;-1.24751e-06;5.14853e-06;
0.0018914;-1.23775e-06;5.10798e-06;
0.0018934;-1.22813e-06;5.06807e-06;
0.0018954;-1.21867e-06;5.02877e-06;
0.0018974;-1.20935e-06;4.99008e-06;
0.0018994;-1.20017e-06;4.95197e-06;
0.0019014;-1.19113e-06;4.91444e-06;
0.0019034;-1.18223e-06;4.87747e-06;
0.0019054;-1.17345e-06;4.84105e-06;
0.0019074;-1.16481e-06;4.80517e-06;
0.0019094;-1.15629e-06;4.76981e-06;
0.0019114;-1.1479e-06;4.73497e-06;
0.0019134;-1.13963e-06;4.70063e-06;
0.0019154;-1.13147e-06;4.66678e-06;
0.0019174;-1.12343e-06;4.63342e-06;
0.0019194;-1.11551e-06;4.60052e-06;
0.0019214;-1.10769e-06;4.56809e-06;
0.0019234;-1.09999e-06;4.53611e-06;
0.0019254;-1.09239e-06;4.50458e-06;
0.0019274;-1.08489e-06;4.47348e-06;
0.0019294;-1.0775e-06;4.4428e-06;
0.0019314;-1.0702e-06;4.41254e-06;
0.0019334;-1.06301e-06;4.38268e-06;
0.0019354;-1.05591e-06;4.35323e-06;
0.0019374;-1.0489e-06;4.32417e-06;
0.0019394;-1.04199e-06;4.29549e-06;
0.0019414;-1.03517e-06;4.26719e-06;
0.0019434;-1.02843e-06;4.23925e-06;
0.0019454;-1.02178e-06;4.21168e-06;
0.0019474;-1.01522e-06;4.18446e-06;
0.0019494;-1.00874e-06;4.1576e-06;
0.0019514;-1.00235e-06;4.13107e-06;
0.0019534;-9.96033e-07;4.10488e-06;
0.0019554;-9.89796e-07;4.07901e-06;
0.0019574;-9.83637e-07;4.05347e-06;
0.0019594;-9.77554e-07;4.02825e-06;
0.0019614;-9.71546e-07;4.00334e-06;
0.0019634;-9.65611e-07;3.97873e-06;
0.0019654;-9.59748e-07;3.95442e-06;
0.0019674;-9.53956e-07;3.9304e-06;
0.0019694;-9.48233e-07;3.90668e-06;
0.0019714;-9.42578e-07;3.88324e-06;
0.0019734;-9.36991e-07;3.86007e-06;
0.0019754;-9.31469e-07;3.83718e-06;
0.0019774;-9.26012e-07;3.81456e-06;
0.0019794;-9.20618e-07;3.7922e-06;
0.0019814;-9.15287e-07;3.7701e-06;
0.0019834;-9.10017e-07;3.74826e-06;
0.0019854;-9.04807e-07;3.72667e-06;
0.0019874;-8.99657e-07;3.70532e-06;
0.0019894;-8.94565e-07;3.68422e-06;
0.0019914;-8.8953e-07;3.66335e-06;
0.0019934;-8.84552e-07;3.64272e-06;
0.0019954;-8.79628e-07;3.62232e-06;
0.0019974;-8.7476e-07;3.60215e-06;
0.0019994;-8.69945e-07;3.58219e-06;
0.002;-8.6851e-07;3.57625e-06;
0.0020002;-8.68034e-07;3.57428e-06;
0.0020006;-8.67081e-07;3.57033e-06;
0.0020014;-8.65182e-07;3.56246e-06;
0.002003;-8.6141e-07;3.54683e-06;
0.002005;-8.5674e-07;3.52748e-06;
0.002007;-8.5212e-07;3.50834e-06;
0.002009;-8.4755e-07;3.48941e-06;
0.002011;-8.43029e-07;3.47068e-06;
0.002013;-8.38556e-07;3.45215e-06;
0.002015;-8.3413e-07;3.43381e-06;
0.002017;-8.2975e-07;3.41567e-06;
0.002019;-8.25416e-07;3.39772e-06;
0.002021;-8.21127e-07;3.37995e-06;
0.002023;-8.16882e-07;3.36237e-06;
0.002025;-8.12681e-07;3.34497e-06;
0.002027;-8.08523e-07;3.32775e-06;
0.002029;-8.04408e-07;3.3107e-06;
0.002031;-8.00333e-07;3.29383e-06;
0.002033;-7.963e-07;3.27713e-06;
0.002035;-7.92308e-07;3.26059e-06;
0.002037;-7.88355e-07;3.24422e-06;
0.002039;-7.84441e-07;3.22802e-06;
0.002041;-7.80566e-07;3.21197e-06;
0.002043;-7.76729e-07;3.19608e-06;
0.002045;-7.7293e-07;3.18035e-06;
0.002047;-7.69167e-07;3.16477e-06;
0.002049;-7.65441e-07;3.14934e-06;
0.00205;-7.63592e-07;3.14169e-06;
0.0020502;-7.63223e-07;3.14016e-06;
0.0020506;-7.62486e-07;3.13711e-06;
0.0020514;-7.61017e-07;3.13103e-06;
0.002053;-7.58096e-07;3.11894e-06;
0.002055;-7.54476e-07;3.10395e-06;
0.002057;-7.50891e-07;3.08911e-06;
0.002059;-7.47339e-07;3.0744e-06;
0.002061;-7.43821e-07;3.05984e-06;
0.002063;-7.40336e-07;3.04541e-06;
0.002065;-7.36883e-07;3.03112e-06;
0.002067;-7.33462e-07;3.01696e-06;
0.002069;-7.30073e-07;3.00293e-06;
0.002071;-7.26715e-07;2.98903e-06;
0.002073;-7.23388e-07;2.97526e-06;
0.002075;-7.20091e-07;2.96162e-06;
0.002077;-7.16824e-07;2.9481e-06;
0.002079;-7.13586e-07;2.9347e-06;
0.002081;-7.10378e-07;2.92142e-06;
0.002083;-7.07198e-07;2.90826e-06;
0.002085;-7.04047e-07;2.89522e-06;
0.002087;-7.00923e-07;2.88229e-06;
0.002089;-6.97827e-07;2.86948e-06;
0.002091;-6.94759e-07;2.85679e-06;
0.002093;-6.91717e-07;2.8442e-06;
0.002095;-6.88701e-07;2.83172e-06;
0.002097;-6.85712e-07;2.81936e-06;
0.002099;-6.82749e-07;2.80709e-06;
0.002101;-6.79811e-07;2.79494e-06;
0.002103;-6.76898e-07;2.78289e-06;
0.002105;-6.7401e-07;2.77094e-06;
0.002107;-6.71147e-07;2.7591e-06;
0.002109;-6.68308e-07;2.74735e-06;
0.002111;-6.65493e-07;2.73571e-06;
0.002113;-6.62701e-07;2.72416e-06;
0.002115;-6.59933e-07;2.71271e-06;
0.002117;-6.57187e-07;2.70135e-06;
