time;I(D4);I(D5);I(D6);I(D7);
9.35e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
9.45e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
9.55e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
9.65e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
9.75e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
9.85e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
9.95e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001005;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001015;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001025;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001035;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001045;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001055;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001065;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001075;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001085;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001095;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001105;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001115;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001125;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001135;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001145;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001155;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001165;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001175;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001185;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001195;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001205;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001215;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001225;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.0001235;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001245;0.023;-0.00483132;-0.00220679;-1.12116e-11;
0.000125;0.023;-0.00483133;-0.00220679;-1.12116e-11;
0.0001251;0.023;-0.00483132;-0.00220679;-3.66329e-12;
0.0001253;0.023;-0.00483132;-0.00220677;-3.33078e-12;
0.0001257;0.023;-0.00483135;-0.00196622;-3.10988e-12;
0.0001265;0.023;-0.00483131;-0.00113229;-3.32626e-12;
0.000127;0.0230001;-0.0048313;-0.000634624;-3.6323e-12;
0.0001271;0.023;-0.00483125;-0.000590018;-3.77537e-12;
0.0001273;0.023;-0.00483121;-0.000548395;-3.02166e-11;
0.0001277;0.023;-0.00483121;-0.0005464;-3.04458e-06;
0.000128176;0.0230365;-0.00484838;-1.15584e-11;-0.0327387;
0.000128763;0.0230396;-0.00477001;-4.45508e-12;-0.02519;
0.000129074;0.0229727;-1.24837e-05;-3.90705e-12;-1.46107e-10;
0.000129394;0.0230215;-0.013753;-4.28694e-12;-3.62935e-12;
0.000129661;0.022973;-4.00568e-12;-4.31056e-12;-1.27811e-11;
0.000129922;0.0230295;-0.0127316;-4.3864e-12;-1.76703e-08;
0.000130329;0.0229672;-4.03411e-12;-4.40147e-12;-0.0010468;
0.000130741;0.0230363;-0.0125908;-4.36847e-12;-0.00329011;
0.000131307;0.0229617;-4.06075e-12;-4.35861e-12;-0.00150474;
0.000131972;0.02304;-0.0125047;-4.36593e-12;-0.00280226;
0.000132792;0.0229586;-4.0874e-12;-4.35967e-12;-0.00179689;
0.000133792;0.0230426;-0.012446;-4.36518e-12;-0.00262945;
0.000134792;0.0229563;-4.11049e-12;-4.36005e-12;-0.00191911;
0.000135792;0.0230449;-0.0123931;-4.36489e-12;-0.00253172;
0.000136792;0.022954;-4.14424e-12;-4.36022e-12;-0.00199832;
0.000137792;0.0230472;-0.0123408;-4.3648e-12;-0.00246759;
0.000138792;0.0229517;-4.18687e-12;-4.36027e-12;-0.00205084;
0.000139792;0.0230494;-0.0122893;-4.36482e-12;-0.00242451;
0.000140792;0.0229494;-4.25082e-12;-4.36025e-12;-0.00208656;
0.000141792;0.0230517;-0.0122384;-4.36491e-12;-0.00239478;
0.000142792;0.0229472;-4.33609e-12;-4.3602e-12;-0.00211156;
0.000143792;0.0230539;-0.0121883;-4.36501e-12;-0.00237365;
0.000144792;0.0229449;-4.46576e-12;-4.36015e-12;-0.00212962;
0.000145792;0.0230562;-0.012139;-4.36512e-12;-0.00235815;
0.000146792;0.0229427;-4.65228e-12;-4.36009e-12;-0.00214305;
0.000147792;0.0230584;-0.0120903;-4.36523e-12;-0.00234645;
0.000148792;0.0229405;-4.93294e-12;-4.36004e-12;-0.00215335;
0.000149792;0.0230606;-0.0120423;-4.36532e-12;-0.00233736;
0.000150792;0.0229383;-5.35394e-12;-4.36e-12;-0.00216146;
0.000151792;0.0230628;-0.011995;-4.36539e-12;-0.00233012;
0.000152792;0.0229361;-5.97211e-12;-4.35997e-12;-0.00216799;
0.000153792;0.023065;-0.0119484;-4.36546e-12;-0.00232424;
0.000154792;0.0229339;-6.88871e-12;-4.35994e-12;-0.00217336;
0.000155792;0.0230671;-0.0119024;-4.36551e-12;-0.00231937;
0.000156792;0.0229318;-8.23341e-12;-4.35993e-12;-0.00217783;
0.000157792;0.0230693;-0.011857;-4.36554e-12;-0.00231528;
0.000158792;0.0229296;-1.02087e-11;-4.35992e-12;-0.00218162;
0.000159792;0.0230715;-0.0118123;-4.36557e-12;-0.00231181;
0.000160792;0.0229275;-1.30864e-11;-4.35992e-12;-0.00218485;
0.000161792;0.0230736;-0.0117682;-4.36558e-12;-0.00230883;
0.000162792;0.0229253;-1.72822e-11;-4.35992e-12;-0.00218764;
0.000163792;0.0230757;-0.0117246;-4.36559e-12;-0.00230625;
0.000164792;0.0229232;-2.3336e-11;-4.35993e-12;-0.00219007;
0.000165792;0.0230778;-0.0116817;-4.36559e-12;-0.002304;
0.000166792;0.0229211;-3.20508e-11;-4.35994e-12;-0.00219219;
0.000167792;0.0230799;-0.0116393;-4.36559e-12;-0.00230202;
0.000168792;0.022919;-4.45279e-11;-4.35995e-12;-0.00219407;
0.000169792;0.023082;-0.0115975;-4.36558e-12;-0.00230027;
0.000170792;0.0229169;-6.23128e-11;-4.35997e-12;-0.00219574;
0.000171792;0.0230841;-0.0115563;-4.36556e-12;-0.00229871;
0.000172792;0.0229149;-8.75229e-11;-4.35999e-12;-0.00219724;
0.000173792;0.0230862;-0.0115156;-4.36554e-12;-0.00229731;
0.000174792;0.0229128;-1.23093e-10;-4.36001e-12;-0.00219859;
0.000175792;0.0230883;-0.0114755;-4.36552e-12;-0.00229605;
0.000176792;0.0229107;-1.73042e-10;-4.36003e-12;-0.00219982;
0.000177792;0.0230903;-0.0114359;-4.3655e-12;-0.00229489;
0.000178792;0.0229087;-2.42853e-10;-4.36006e-12;-0.00220095;
0.000179792;0.0230924;-0.0113968;-4.36548e-12;-0.00229383;
0.000180792;0.0229066;-3.39952e-10;-4.36008e-12;-0.00220199;
0.000181792;0.0230944;-0.0113583;-4.36545e-12;-0.00229285;
0.000182792;0.0229046;-4.74381e-10;-4.36011e-12;-0.00220295;
0.000183792;0.0230964;-0.0113202;-4.36542e-12;-0.00229193;
0.000184792;0.0229026;-6.59634e-10;-4.36013e-12;-0.00220386;
0.000185792;0.0230985;-0.0112827;-4.3654e-12;-0.00229106;
0.000186792;0.0229005;-9.13758e-10;-4.36016e-12;-0.00220473;
0.000187792;0.0231005;-0.0112457;-4.36537e-12;-0.00229024;
0.000188792;0.0228985;-1.26078e-09;-4.36019e-12;-0.00220555;
0.000189792;0.0231025;-0.0112093;-4.36534e-12;-0.00228945;
0.000190792;0.0228965;-1.73251e-09;-4.36021e-12;-0.00220634;
0.000191792;0.0231045;-0.0111733;-4.36531e-12;-0.00228869;
0.000192792;0.0228945;-2.37093e-09;-4.36024e-12;-0.00220711;
0.000193792;0.0231065;-0.0111378;-4.36528e-12;-0.00228794;
0.000194792;0.0228925;-3.23113e-09;-4.36027e-12;-0.00220787;
0.000195792;0.0231085;-0.0111028;-4.36525e-12;-0.00228721;
0.000196792;0.0228906;-4.38509e-09;-4.3603e-12;-0.00220862;
0.000197792;0.0231104;-0.0110682;-4.36522e-12;-0.00228648;
0.000198792;0.0228886;-5.92643e-09;-4.36033e-12;-0.00220937;
0.000199792;0.0231124;-0.0110342;-4.36519e-12;-0.00228575;
0.000200792;0.0228866;-7.97634e-09;-4.36036e-12;-0.00221012;
0.000201792;0.0231144;-0.0110007;-4.36513e-12;-0.00228534;
0.000202792;0.0228847;-1.06916e-08;-4.36038e-12;-0.0022103;
0.000203792;0.0231163;-0.0109676;-4.3651e-12;-0.0022851;
0.000204792;0.0228827;-1.42727e-08;-4.3604e-12;-0.00221062;
0.000205792;0.0231183;-0.0109349;-4.36508e-12;-0.00228467;
0.000206792;0.0228808;-1.89756e-08;-4.36043e-12;-0.00221117;
0.000207792;0.0231202;-0.0109028;-4.36506e-12;-0.00228404;
0.000208792;0.0228788;-2.51254e-08;-4.36046e-12;-0.00221187;
0.000209792;0.0231221;-0.0108711;-4.36502e-12;-0.00228344;
0.000210792;0.0228769;-3.3136e-08;-4.36049e-12;-0.00221244;
0.000211792;0.0231241;-0.0108398;-4.36498e-12;-0.00228299;
0.000212792;0.022875;-4.35284e-08;-4.36051e-12;-0.00221283;
0.000213792;0.023126;-0.010809;-4.36495e-12;-0.00228264;
0.000214792;0.0228731;-5.69556e-08;-4.36054e-12;-0.00221318;
0.000215792;0.0231279;-0.0107786;-4.36492e-12;-0.00228229;
0.000216792;0.0228712;-7.42342e-08;-4.36056e-12;-0.00221357;
0.000217792;0.0231298;-0.0107486;-4.36489e-12;-0.00228189;
0.000218792;0.0228693;-9.63812e-08;-4.36059e-12;-0.00221399;
0.000219792;0.0231317;-0.0107191;-4.36486e-12;-0.00228148;
0.000220792;0.0228674;-1.24656e-07;-4.36061e-12;-0.00221443;
0.000221792;0.0231336;-0.01069;-4.36483e-12;-0.00228104;
0.000222792;0.0228655;-1.60606e-07;-4.36064e-12;-0.00221489;
0.000223792;0.0231355;-0.0106613;-4.3648e-12;-0.0022806;
0.000224792;0.0228636;-2.06145e-07;-4.36066e-12;-0.00221535;
0.000225792;0.0231374;-0.0106332;-4.36477e-12;-0.00228016;
0.000226792;0.0228617;-2.63562e-07;-4.36069e-12;-0.00221581;
0.000227792;0.0231392;-0.0106053;-4.36474e-12;-0.00227972;
0.000228792;0.0228598;-3.35715e-07;-4.36071e-12;-0.00221627;
0.000229792;0.0231411;-0.0105779;-4.36471e-12;-0.00227928;
0.000230792;0.022858;-4.26011e-07;-4.36074e-12;-0.00221672;
0.000231792;0.023143;-0.010551;-4.36468e-12;-0.00227885;
0.000232792;0.0228561;-5.38602e-07;-4.36076e-12;-0.00221717;
0.000233792;0.0231448;-0.0105244;-4.36465e-12;-0.00227842;
0.000234792;0.0228543;-6.78313e-07;-4.36078e-12;-0.00221761;
0.000235792;0.0231467;-0.0104982;-4.36463e-12;-0.00227799;
0.000236792;0.0228524;-8.51038e-07;-4.36081e-12;-0.00221805;
0.000237792;0.0231485;-0.0104724;-4.3646e-12;-0.00227758;
0.000238792;0.0228506;-1.06371e-06;-4.36083e-12;-0.00221848;
0.000239792;0.0231503;-0.0104469;-4.36457e-12;-0.00227716;
0.000240792;0.0228487;-1.32456e-06;-4.36086e-12;-0.0022189;
0.000241792;0.0231522;-0.0104215;-4.36455e-12;-0.00227676;
0.000242792;0.0228469;-1.64358e-06;-4.36088e-12;-0.00221929;
0.000243792;0.023154;-0.0103973;-4.36452e-12;-0.00227637;
0.000244792;0.0228451;-2.03019e-06;-4.3609e-12;-0.00221972;
0.000245792;0.0231558;-0.010373;-4.36449e-12;-0.00227597;
0.000246792;0.0228433;-2.49827e-06;-4.36093e-12;-0.00222014;
0.000247792;0.0231576;-0.0103491;-4.36447e-12;-0.00227557;
0.000248792;0.0228415;-3.06195e-06;-4.36095e-12;-0.00222054;
0.000249792;0.0231594;-0.0103255;-4.36444e-12;-0.00227518;
0.000250792;0.0228397;-3.73734e-06;-4.36097e-12;-0.00222094;
0.000251792;0.0231612;-0.0103024;-4.36441e-12;-0.00227481;
0.000252792;0.0228379;-4.54235e-06;-4.36099e-12;-0.00222133;
0.000253792;0.023163;-0.0102796;-4.36439e-12;-0.00227443;
0.000254792;0.0228361;-5.49647e-06;-4.36102e-12;-0.00222172;
0.000255792;0.0231648;-0.0102571;-4.36437e-12;-0.00227406;
0.000256792;0.0228343;-6.62152e-06;-4.36104e-12;-0.00222209;
0.000257792;0.0231666;-0.0102347;-4.36434e-12;-0.00227371;
0.000258792;0.0228325;-7.94227e-06;-4.36106e-12;-0.00222245;
0.000259792;0.0231684;-0.0102131;-4.36432e-12;-0.00227336;
0.000260792;0.0228307;-9.47893e-06;-4.36108e-12;-0.00222282;
0.000261792;0.0231702;-0.0101916;-4.36429e-12;-0.00227301;
0.000262792;0.0228289;-1.1256e-05;-4.3611e-12;-0.00222317;
0.000263792;0.0231719;-0.0101704;-4.36427e-12;-0.00227267;
0.000264792;0.0228272;-1.33023e-05;-4.36112e-12;-0.00222352;
